ID,Ley,Articulo,Objetivo,Stakeholder,ID-EV,ID-RF,Tipo,ID-CU,ID-HU,ID-CA,ID-Componente,ID-Mockup
14,,,Analizar patrones de consumo energetico,Docente,EV-02,RF-14,RF,CU-16,,,ConsumoEnergetico,
15,,,Programar horarios automatizados de encendido/apagado,Personal de Infraestructura y Mantenimiento,EV-01,RF-15,RF,CU-13,,,HorarioAcademico,
16,,,Apagar automaticamente equipos de aulas desocupadas,Personal de Infraestructura y Mantenimiento,EV-01,RF-16,RF,CU-03;CU-13,HU-16,CA-16,Aula;Equipo,
17,,,Generar reportes estadisticos periodicos,Docente,EV-02,RF-17,RF,CU-09,,,ReporteAdministrativo,MU-04
18,,,Exportar reportes en PDF y Excel,Docente,EV-02,RF-18,RF,CU-10,,,ReporteAdministrativo,MU-04
19,,,Gestionar acceso diferenciado por roles,Docente,EV-02,RF-19,RF,CU-11,,,Usuario;Rol,
20,,,Registrar el historial de ocupacion de aulas,Docente,EV-02,RF-20,RF,CU-01;CU-08,,,Aula;LecturaSensor,
21,,,Notificar equipos encendidos fuera de horario,Personal de Infraestructura y Mantenimiento,EV-01,RF-21,RF,CU-04;CU-13,,,Alerta;Equipo,
22,,,Monitorear la conectividad de la red IoT,Personal de Infraestructura y Mantenimiento,EV-01,RF-22,RF,CU-12,,,GatewayIoT,
23,,,Registrar bitacora de acciones de usuario,Personal de Infraestructura y Mantenimiento;Docente,EV-01;EV-02,RF-23,RF,CU-14,,,BitacoraAccion,
24,LOPDP,Art. 13,Exportar los datos personales del usuario a solicitud,Docente;Coordinacion,,RF-24,RF,CU-11,HU-24,CA-24,Usuario,
25,LOPDP,Art. 14,Rectificar los datos personales del usuario,Docente;Coordinacion,,RF-25,RF,CU-11,HU-25,CA-25,Usuario,
26,,,"Validacion complementaria mediante cuestionario ampliado (formulario v2.0, 31 respuestas)",Estudiantes,EV-17,RF-04;RF-05;RF-07;RF-08;RF-11;RF-12;RF-22,RF,CU-01;CU-02;CU-04;CU-05;CU-06;CU-07;CU-12,,,,
27,,,Evidencia fotografica del trabajo de campo,Personal de Infraestructura y Mantenimiento;Docente,EV-04,RF-01;RF-02;RF-03;RF-04;RF-05;RF-07;RF-08,RF,CU-01;CU-02;CU-03;CU-04,,,,
28,,,Dependencia del horario academico vigente,Coordinacion,EV-05,RF-13;RF-15;RF-16;RF-20;RF-21;RD-13,RD,CU-03;CU-09;CU-13,,,HorarioAcademico,
29,,,Registro del proceso de mantenimiento fisico,Personal de Infraestructura y Mantenimiento,EV-06,RF-08;RF-10;RF-11;RF-12;RF-17;RD-17,RD,CU-04;CU-08;CU-09,,,SolicitudMantenimiento,
30,,,Evidencia del sistema de camaras existente,Personal de Infraestructura y Mantenimiento,EV-07,RF-06;RF-07;RF-22;RD-05,RD,CU-01;CU-12;CU-15,,,CamaraVigilancia,
31,,,Validar percepcion del panel de control con personal no tecnico,Personal de servicios generales,EV-08,RF-07,RF,CU-01,,CA-07b,Aula,MU-01
32,,,Confirmar limitacion real de camaras interiores no operativas,Personal de servicios generales,EV-08,RF-06,RF,CU-15,,,CamaraVigilancia,
33,,,Validar percepcion del panel consolidado con personal no tecnico,Personal de servicios generales,EV-09,RF-01;RF-03;RF-07,RF,CU-01;CU-03,,CA-07c,Aula,MU-01
34,,,Validar disponibilidad de aulas filtrada por horario docente,Coordinacion,EV-10,RF-07,RF,CU-01,HU-07b,CA-07d,Aula,MU-01
35,,,Detectar necesidad de tablero de estado de equipos por sesion de clase,Personal de servicios generales,EV-11,RF-12,RF,CU-06,HU-12b,CA-12b,SolicitudMantenimiento,MU-03
36,,,Validar el panel de control y el historial de alertas con un docente,Docente,EV-12,RF-04;RF-05;RF-07;RF-08;RF-11;RF-13;RF-14;RF-16,RF,CU-01;CU-04;CU-05,,,Aula;Alerta,MU-01;MU-02
37,,,Detectar brecha de historial de intervenciones no expuesto en reportes,Docente,EV-13,RF-10;RF-17;RF-19,RF,CU-08;CU-09,HU-10b,CA-10b,ReporteAdministrativo,MU-04
38,,,Validar necesidad de acuse de recepcion en solicitudes de mantenimiento,Coordinacion,EV-14,RF-12,RF,CU-06;CU-07,HU-12c,CA-12c,SolicitudMantenimiento,MU-03
39,,,Detectar ausencia de conectividad como riesgo critico del sistema,Docente,EV-15,RD-02,RD,CU-01,,,GatewayIoT,
40,,,Validar oposicion al acceso docente a camaras de aula,Docente,EV-15,RF-06,RF,CU-15,,,CamaraVigilancia,
41,,,Detectar necesidad de inventario de equipos de laboratorio,Docente,EV-16,RF-07,RF,CU-01,HU-07e,CA-07e,Aula;Equipo,MU-01
42,,,Simplificar historial de estados del ticket de mantenimiento,Docente,EV-16,RF-12,RF,CU-07,HU-12d,CA-12d,SolicitudMantenimiento,MU-03
43,,,Documentar diversidad de contexto fisico del entorno de las aulas,Personal de Infraestructura y Mantenimiento,EV-18,RF-01;RF-04;RF-05;RF-06,RD,CU-01;CU-02;CU-15,,,Aula;Equipo;CamaraVigilancia,
44,,,Verificar aplicacion real del cuestionario a estudiantes,Estudiantes,EV-19,RF-04;RF-05;RF-07;RF-08,RD,CU-01;CU-02;CU-04;CU-05,,,,
