Anexo B - Registro consolidado de defectos de la inspeccion Fagan;;;;;;;
Documento inspeccionado;ERS_SIGA_v1.0.pdf (SIGA - Sistema Inteligente de Gestion de Aulas, Entrega 2A);Paginas efectivas;122;Fecha de la reunion;2026-08-09;Moderador;Munoz Quinonez Yeranick Esther
D-15;5.5 Matriz de trazabilidad Tabla 63 (lineas 1965 a 1993) y B.1 catalogo de evidencias (lineas 2199 a 2207);La matriz impresa en el ERS no contiene fila alguna para RF-24 ni RF-25 ni para ninguno de los 16 RNF: 2 de 25 RF y 16 de 16 RNF quedan huerfanos en el propio documento. En sentido inverso, el catalogo B.1 registra para EV-08 EV-10 EV-11 EV-13 y EV-15 ocho necesidades marcadas como candidato (alerta ante manipulacion de camara, SLA por prioridad, vista individual de aula, historial de correcciones por equipo, control de acceso a puertas, SLA de 24h, catalogo de incidencias ampliado, foto adjunta en reporte) que no se formalizaron como requisito ni figuran en ningun backlog.;Trazabilidad;Mayor;Tabla 63 RF-24 RF-25 NFR-01 a NFR-16 y EV-08 EV-10 EV-11 EV-13 EV-15;Munoz (Mod);CORREGIDO
D-16;IX Referencias (linea 2104) y todo el fuente;El documento no contiene un solo comando cite en sus 2256 lineas. La bibliografia se emite con nocite asterisco, lo que imprime las 37 entradas de referencias.bib con independencia de que hayan sido consultadas. Las atribuciones del texto (Chazette y Schneider 2020; Yu 1995; Cohn 2004) aparecen como texto plano sin vinculo con la lista. En consecuencia ninguna afirmacion del ERS queda anclada a una fuente verificable y toda la lista figura sin cita en el texto.;Trazabilidad;Mayor;Seccion IX y las 37 entradas de referencias.bib;Chavarria (I1);CORREGIDO
D-17;Registro de correcciones 1B->2A fila 2 (linea 37);La celda declara resuelta la observacion del video EV-02 en baja resolucion con el texto Subida de grabacion en 720p o superior y a renglon seguido se contradice con mientras se completa la nueva grabacion. La evidencia citada es el directorio 02_Evidencias/Video/ del repositorio, que contiene 9 subcarpetas (EV01 a EV08 y EV11) y ningun archivo. La correccion se declara hecha, se declara pendiente en la misma celda y no existe evidencia de ninguna de las dos versiones.;Trazabilidad;Mayor;Registro de correcciones 1B->2A y evidencia EV-02;Munoz (Mod);CORREGIDO
D-18;7.1 PICOC (linea 2052) frente a 7.2 y 7.3 (lineas 2070 y 2077);La poblacion se define como 26 requisitos generados por LLM y 25 elicitados por el equipo humano, mientras el diseno declarado es un cuasi-experimento apareado y el plan de analisis especifica prueba t para muestras apareadas y kappa de Fleiss. Dos conjuntos de distinto tamano no admiten apareamiento; el analisis planificado no es ejecutable sobre los datos definidos y no se declara regla de emparejamiento ni de exclusion del elemento sobrante.;Factibilidad;Mayor;Protocolo experimental secciones 7.1 7.2 y 7.3;Chavarria (I2);CORREGIDO
D-19;B.1 catalogo EV-02 (linea 2193) frente a A.2 (linea 2145) y A.3 semana 9 (linea 2167);El catalogo de evidencias identifica a EV-02 como Coordinacion de la Carrera codigo COORD-01, y el archivo del repositorio se llama 2026-06-30_Coordinacion_COORD-01_EV-02_Transcripcion.txt. El Apendice A.2 atribuye la misma evidencia a Docente de la Facultad y el cronograma A.3 repite Entrevista EV-02 con Docente de la Facultad. Las fichas de RF la citan como Coordinadora de la Carrera-Docente, una tercera denominacion. La fuente de 9 requisitos funcionales queda identificada de tres maneras distintas.;Consistencia;Mayor;EV-02 y RF-04 RF-07 RF-09 RF-11 RF-12 RF-14 RF-17 RF-20 RF-23;Chavarria (I2);CORREGIDO
D-20;5.3 Modelo de Kano (lineas 1902 a 1912);RF-05 se clasifica como Indiferente con 37 por ciento y se califica de categoria dominante clara sin reportar como se distribuye el 63 por ciento restante. Para RF-08 se informan 8 respuestas en cada una de tres categorias (24) y para RF-07 9 en cada una de dos (18), frente a una n declarada de 27 a 30: entre 3 y 12 respuestas por pregunta quedan sin reportar y sin explicacion. La base numerica no permite reconstruir ninguna de las tres clasificaciones.;Verificabilidad;Mayor;Tabla 61 y clasificacion Kano de RF-05 RF-07 RF-08;Chavarria (I1);CORREGIDO
D-21;2.1 Perspectiva del producto (linea 138) frente a 2.3 (linea 180) y RF-24 RF-25 (lineas 854 y 869);La seccion 2.1 excluye a los estudiantes como actores del sistema porque no requieren autenticacion ni interaccion directa con SIGA. La seccion 2.3 los declara titulares de datos personales precisamente para efectos de RF-24 y RF-25, cuyas precondiciones exigen usuario autenticado. Los titulares a los que la ley obliga a atender no pueden ejercer sus derechos en el sistema tal como esta especificado.;Consistencia;Mayor;RF-24 RF-25 seccion 2.1 y seccion 2.3;Chavarria (I2);CORREGIDO
D-22;3.2 introduccion (linea 498) frente a las fichas de RF-22 y RF-23 (lineas 822 y 837);El parrafo afirma que los 23 primeros RF fueron formalizados a partir de los requisitos crudos RC-01 a RC-25. La correspondencia real es 1 a 1 hasta RF-21 y luego salta: RF-22 deriva de RC-24 y RF-23 de RC-25. RC-22 y RC-23 no originan ningun RF y el documento no declara si fueron descartados, fusionados o diferidos.;Trazabilidad;Mayor;RC-22 RC-23 RF-22 y RF-23;Munoz (Mod);CORREGIDO
D-23;2.4.2 Conflictos entre stakeholders fila 6 (linea 242);La estrategia de gestion del conflicto Automatizacion de apagado frente a continuidad academica compromete integrar el horario academico vigente, permitir excepciones autorizadas y registrar actividades extraordinarias. La primera parte esta cubierta por RD-13 y RF-15, pero ningun RF del catalogo RF-01 a RF-25 especifica un mecanismo de excepcion o anulacion manual sobre RF-13 RF-15 o RF-16. La estrategia declarada carece de requisito destino en el riesgo de apagar equipos durante una clase extendida.;Trazabilidad;Mayor;RF-13 RF-15 RF-16 y RF ausente de excepcion autorizada;Munoz (Mod);CORREGIDO
D-24;3.3 (linea 880) y toda la seccion III frente a la Tabla 41;El texto anuncia 16 requisitos no funcionales identificados RNF-01 a RNF-16 y la tabla los etiqueta NFR-01 a NFR-16. El fuente alterna ambos prefijos 40 y 31 veces respectivamente, en ocasiones dentro del mismo parrafo (3.3.2 cita NFR-08 y RNF-16 en la misma frase). El glosario registra RNF / NFR como una sola entrada, lo que documenta la duplicidad pero no la resuelve.;Ambiguedad;Menor;NFR-01 a NFR-16 y glosario 1.3;Chavarria (I1);No corregido - defecto menor
D-25;2.5 Entorno operativo leyendas de tabla (lineas 285 y 299);La tabla de componentes de software lleva la leyenda Componentes de hardware y descripcion operativa, duplicada de la tabla inmediatamente anterior, y la tabla de elementos de red lleva la leyenda Componentes de software y descripcion operativa. Las tres leyendas quedan desplazadas una posicion respecto de su contenido y el Indice de tablas reproduce el error.;Consistencia;Menor;Seccion 2.5 e Indice de tablas;Chavarria (I2);No corregido - defecto menor
D-26;5.5 texto (linea 1958) y leyenda de la Tabla 63 (linea 1994);El parrafo afirma que la matriz de 1B contenia 28 filas, la leyenda de la tabla dice base heredada de 1B, 29 filas y el conteo real de filas de datos es 28. Tres cifras para el mismo objeto en la misma pagina.;Verificabilidad;Menor;Tabla 63;Chavarria (I2);No corregido - defecto menor
D-27;1.2 y 2.1 frente a 2.3 (linea 163) y 2.4 (linea 187);El cliente se denomina Facultad de Ciencias de la Computacion en la portada, en 1.2 y en 2.1, y Facultad de Ciencias de la Computacion y Diseno Digital en 2.3 y 2.4. La organizacion destinataria del sistema aparece con dos nombres distintos sin que se declare cual es el vigente.;Ambiguedad;Menor;Alcance del producto y mapa de stakeholders;Chavarria (I1);No corregido - defecto menor
D-28;3.2 introduccion (linea 498) frente a Tablas 39 y 40 (RF-24 y RF-25);El parrafo afirma que RF-24 y RF-25 no cuentan con evidencia de campo directa y se marcan explicitamente como pendientes de validacion mediante el guion general de entrevista (Seccion 3, RNF). Ninguna de las dos fichas contiene tal marca en ningun atributo, y la referencia Seccion 3, RNF no identifica ninguna seccion existente del documento.;Completitud;Menor;RF-24 y RF-25;Chavarria (I1);No corregido - defecto menor
D-29;4.4 4.5 y 4.9 (lineas 1489 1496 1503 1520 1527 y 1580 en adelante);Cinco imagenes (seq_UC04, seq_UC06, seq_UC16, act_UC05 y act_UC07) se insertan dos veces en el documento con etiquetas distintas. La seccion 4.9 lo justifica como decision de consistencia, pero el resultado es que el Indice de figuras presenta cinco leyendas duplicadas y el conteo de figuras del documento (51 entornos figure) no coincide con los 41 diagramas que declaran las conclusiones.;Consistencia;Menor;Indice de figuras y secciones 4.4 4.5 y 4.9;Munoz (Mod);No corregido - defecto menor
;;;;;;;
Resumen por severidad;Critico;4;Mayor;19;Menor;6;Total 29
Resumen por tipo;Ambiguedad;2;Completitud;4;Consistencia;10;Verificabilidad 4 - Trazabilidad 7 - Factibilidad 2
Resumen por inspector;Chavarria pase I1;11;Chavarria pase I2;11;Munoz Moderador;7;Total 29
Densidad de defectos (M1);29 defectos / 122 paginas = 0,238 defectos por pagina;;;;;;
Esfuerzo total (M5);10,0 horas-persona (7,0 de preparacion individual + 3,0 de reunion);Eficiencia;2,9 defectos por hora-persona;;;;
