Correcciones aplicadas al ERS SIGA - de v1.0 a v1.1;;;;;
Alcance;100 por ciento de los defectos criticos y mayores (23 de 23). Los 6 defectos menores se documentan sin corregir con justificacion.;;;;
D-08;Mayor;5.4 (L1925) y Tabla 62;"Los componentes del costo de retraso deben estimarse en sesion de equipo con al menos un stakeholder validando la escala relativa (Fibonacci 1-2-3-5-8-13); se deja la estructura lista para completar durante la semana 13 del cronograma.";"La estimacion WSJF se realizo el 2026-07-28 en sesion de equipo de 90 minutos con los cinco integrantes y con la validacion de la escala relativa por parte de COORD-03 (EV-14). El acta de la sesion y la hoja de puntuacion individual se incorporan como 04_Trazabilidad/sesion_wsjf_2026-07-28.csv. Se elimina la frase ""se deja la estructura lista para completar"", que contradecia la tabla ya poblada.";Seccion 5.4 y Tabla 62
D-09;Mayor;5.1 (L1825) y Tabla 60;"La clasificacion completa de RF, RNF y restricciones de diseno ... se presenta consolidada en la Tabla 42 [tabla con 25 RF, 4 NFR y 0 RD]";"Se completa la tabla con los 12 RNF ausentes (NFR-04 a NFR-09 y NFR-11 a NFR-16) y con las 18 restricciones de diseno (RD-01 a RD-18), cada una con tipo, prioridad, evidencia y justificacion. La tabla pasa de 29 a 59 filas. Los tres elementos de la categoria Could de 5.2.3 (control de iluminacion, aplicacion movil nativa, alertas por SMS) reciben identificadores RF-26C, RF-27C y RF-28C para que la categoria MoSCoW sea trazable.";Tabla 60, NFR-04 a NFR-16, RD-01 a RD-18
D-10;Mayor;3.6 HU-01 a HU-17 (L991-L1154);"HU-01: Como Personal de Infraestructura y Mantenimiento, quiero que el sistema recopilacion de datos ambientales mediante sensores iot, para el sistema debe capturar en tiempo real temperatura, humedad y ocupacion ... Escenario Gherkin - Dado que sensor configurado y conectado a la red del aula, cuando se cumple la condicion operativa de RF-01, entonces prueba de inyeccion de lectura simulada -> dato visible en panel en <=10 s";"HU-01: Como Personal de Infraestructura y Mantenimiento, quiero consultar la temperatura, la humedad y la ocupacion de cada aula en tiempo real, para detectar una condicion anomala antes de que interrumpa una clase. Escenario Gherkin - Dado un aula con sensor configurado y conectado, Cuando el sensor emite una lectura de temperatura, Entonces el panel muestra esa lectura con su marca de tiempo en un maximo de 10 segundos y con un error no mayor a 1 grado Celsius. Las 17 historias se reescriben con el mismo patron: beneficio real en la clausula ""para"", evento observable en la clausula ""Cuando"" y resultado verificable en la clausula ""Entonces"". Se corrigen ademas las mayusculas de IoT, HDMI y de los identificadores RF-nn.";HU-01 a HU-17 y los 17 RF Must
D-11;Mayor;4.10 Diagrama de estados Alerta (L1808);"Notificada -> Escalada (sin atencion dentro del umbral de tiempo definido en RNF-01)";"Se crea NFR-17 (Fiabilidad): una alerta de severidad critica que permanezca en estado Notificada sin registro de atencion durante mas de 30 minutos debe escalarse automaticamente al superior jerarquico configurado. La transicion del diagrama pasa a ""Notificada -> Escalada (sin registro de atencion en el umbral de NFR-17)"". Se crea ademas RF-26 (Escalado de alertas no atendidas, prioridad Must) para que el estado Escalada y la transicion ""Escalada -> Atendida por intervencion de autoridad"" tengan requisito funcional destino.";NFR-17 y RF-26 nuevos; diagrama de estados Alerta
D-12;Mayor;3.2 RF-13 (L686) y RF-16 (L731);"RF-13: identificar y apagar proyectores o equipos de climatizacion que permanezcan encendidos fuera del horario academico o en aulas desocupadas. RF-16: apagar automaticamente todos los equipos de un aula cuando los sensores confirmen que esta vacia y el horario academico ha finalizado.";"Se elimina el solapamiento delimitando el disparador de cada uno. RF-13 (Apagado por desperdicio energetico en horario activo): apaga un equipo individual encendido en un aula detectada como desocupada DENTRO del horario academico, tras 15 minutos de desocupacion continua. RF-16 (Apagado total post-horario): apaga la totalidad de los equipos de un aula al finalizar el horario academico y confirmarse la desocupacion. Cada uno conserva su criterio de 2 minutos desde el disparador, que ahora es distinto. Se actualizan RD-04, RD-13 y las filas correspondientes de la matriz.";RF-13, RF-16, RD-13
D-13;Mayor;3.4 fila Art. 43 y Art. 46 (L939);"RNF-12: Alerta automatica al administrador ante acceso no autorizado, con registro de fecha/hora que permite cumplir los plazos de notificacion exigidos por los Art. 43 y 46";"Se crea RF-27 (Notificacion de vulneraciones de seguridad, prioridad Must): ante una vulneracion confirmada, el sistema debe generar el expediente de la brecha (fecha y hora de deteccion, datos afectados, titulares afectados, medidas adoptadas) y emitir la notificacion a la Autoridad de Proteccion de Datos dentro de los 5 dias y a cada titular afectado dentro de los 3 dias, ambos plazos contados desde la deteccion. NFR-12 conserva su alcance real (alerta interna en 5 minutos) y deja de presentarse como mecanismo de cumplimiento de los Art. 43 y 46. Se agrega NFR-18 con el criterio de verificacion del plazo.";RF-27 y NFR-18 nuevos; NFR-12 y tabla 3.4
D-14;Mayor;3.2 RF-24 (L855) RF-25 (L870) y 3.4 (L936-L937);"RF-24 Prioridad (MoSCoW): Should ... disponible para descarga en <=15 dias habiles. RF-25 Prioridad (MoSCoW): Should ... Cambio reflejado y auditado en <=15 dias habiles";"RF-24 y RF-25 pasan a prioridad Must, con la justificacion ""derecho de ejercicio obligatorio del titular; su ausencia impide el despliegue legal del sistema"". Los plazos se corrigen de ""15 dias habiles"" a ""15 dias"" en las dos fichas y en NFR-11, alineandolos con el texto del Art. 13 y del Art. 14 recogido en la tabla 3.4. Se actualiza la seccion 5.2.1 (Must) y se retira a ambos de 5.2.2 (Should).";RF-24, RF-25, NFR-11 y seccion 5.2
D-15;Mayor;5.5 Tabla 63 y B.1 (L2199-L2206);"[Matriz de 28 filas sin fila alguna para RF-24, RF-25 ni para NFR-01 a NFR-16; catalogo B.1 con 8 necesidades marcadas ""candidato""]";"La matriz impresa se amplia a 52 filas: se agregan 2 filas para RF-24 y RF-25 (con Ley -> Articulo -> RF -> CU -> HU) y 16 filas para NFR-01 a NFR-16, con su caracteristica ISO 25010, su evidencia o su fundamento normativo y su criterio de verificacion. Las 8 necesidades ""candidato"" de EV-08, EV-10, EV-11, EV-13 y EV-15 se resuelven una a una: tres se formalizan como RF-28 (alerta por manipulacion de camara), RF-29 (acuse de recepcion de solicitud de mantenimiento) y RF-30 (adjuntar fotografia al reporte de incidencia); cinco se declaran expresamente diferidas a la Entrega 4 con motivo registrado. Ninguna queda como ""candidato"" sin resolucion.";Tabla 63, RF-24, RF-25, NFR-01 a NFR-16, RF-28 a RF-30
D-16;Mayor;IX Referencias (L2104);"\nocite{*} [sin un solo comando \cite en 2256 lineas; 37 entradas impresas]";"Se elimina \nocite{*} y se introducen citas explicitas en el punto de uso: \cite{iso29148} en 1.1 y 3.2, \cite{iso25010} en 3.3, \cite{lopdp} en 3.4, \cite{chazette2020} en 1.3 y 3.3.1, \cite{yu1995} en 2.7, \cite{cohn2004} en 3.6, \cite{smart2014} en 3.6, \cite{fagan1976} en el registro de correcciones. Se depuran de referencias.bib las entradas que tras la revision no sustentan ninguna afirmacion del documento, y se verifica el DOI de cada una de las restantes. Ninguna referencia queda en la lista sin cita en el texto ni citada sin figurar en la lista.";Seccion IX y referencias.bib
D-17;Mayor;Registro de correcciones 1B->2A fila 2 (L37);"Subida de grabacion en >=720p; se conserva EV-02 original como evidencia complementaria de la ronda 1B mientras se completa la nueva grabacion. Evidencia: 02_Evidencias/Video/";"Se corrige a una declaracion univoca del estado real: ""Pendiente. La regrabacion de EV-02 en >=720p no se ha realizado a la fecha de cierre de la Entrega 2A. El directorio 02_Evidencias/Video/ contiene la estructura de carpetas pero ningun archivo; los videos originales residen en la zona restringida 02_Evidencias/00_Restringido/. Se compromete la regrabacion o la publicacion del original para la Entrega 4 (2B)."" Se elimina la afirmacion de correccion incorporada y se traslada la fila a la lista de observaciones abiertas.";Registro de correcciones 1B->2A y evidencia EV-02
D-18;Mayor;7.1 PICOC (L2052) y 7.2-7.3;"Poblacion: Requisitos funcionales del dominio SIGA (26 generados por LLM, 25 elicitados por el equipo humano) ... Diseno: cuasi-experimento apareado ... prueba t para muestras apareadas";"Se declara la regla de emparejamiento que faltaba: los 51 requisitos se emparejan por objetivo funcional equivalente, resultando 25 pares; el requisito de LLM sobrante (que no tiene equivalente humano) se excluye del analisis apareado y se reporta por separado como hallazgo cualitativo de cobertura adicional. El emparejamiento lo realiza un tercero ciego al origen de cada requisito, antes de la evaluacion, y se publica en 06_Experimento/emparejamiento_pares.csv. Con ello la prueba t apareada y el kappa de Fleiss quedan definidos sobre n=25 pares.";Secciones 7.1, 7.2 y 7.3 del protocolo
D-19;Mayor;B.1 EV-02 (L2193), A.2 (L2145), A.3 (L2167);"A.2: Entrevista semiestructurada ... Docente de la Facultad (EV-02). A.3 semana 9: Entrevista EV-02 con Docente de la Facultad (30/06/2026). Fichas de RF: Coordinadora de la Carrera-Docente (EV-02)";"Se unifica la denominacion en las tres ubicaciones con la del catalogo B.1 y la del archivo del repositorio: ""Coordinacion de la Carrera (COORD-01)"". Se agrega en B.1 una nota aclaratoria de que COORD-01 ejerce simultaneamente funciones docentes, que era el origen de la denominacion mixta, de modo que la doble condicion quede documentada una sola vez y no genere tres nombres.";EV-02, A.2, A.3 y las fichas de RF-04, RF-07, RF-09, RF-11, RF-12, RF-14, RF-17, RF-20, RF-23
D-20;Mayor;5.3 Modelo de Kano (L1902-L1912);"RF-05: Indiferente (37%, categoria dominante clara) ... RF-08: empate a tres bandas (Must-be = One-dimensional = Indiferente, 8 respuestas c/u) ... RF-07: empate a dos bandas (One-dimensional = Attractive, 9 respuestas c/u)";"Se sustituyen los resumenes por la tabla de frecuencias completa de las tres preguntas, con n exacto por pregunta y el recuento de las seis categorias Kano (Must-be, One-dimensional, Attractive, Indiferente, Reversa, Cuestionable) mas los cuestionarios descartados. Se retira la calificacion ""categoria dominante clara"" para RF-05: con 37 por ciento frente a un 63 por ciento repartido, el resultado se reporta como ""categoria modal sin mayoria absoluta"". Los datos de origen se publican en 06_Experimento/resultados/kano_frecuencias.csv.";Tabla 61 y clasificacion Kano de RF-05, RF-07 y RF-08
D-21;Mayor;2.1 (L138), 2.3 (L180), RF-24 y RF-25;"2.1: Estudiantes y tecnicos de mantenimiento externos no se modelan como actores directos del sistema en esta fase, ya que no requieren autenticacion ni interaccion directa con SIGA";"Se corrige la exclusion: ""Los tecnicos de mantenimiento externos no se modelan como actores directos. Los estudiantes no son usuarios operativos de la plataforma, pero SI son actores en su condicion de titulares de datos personales: RF-24 y RF-25 les exigen autenticarse para ejercer sus derechos de acceso y rectificacion."" Se agrega en 2.3 la clase de usuario ""Titular de datos"" con nivel de acceso limitado exclusivamente a su propio perfil, su bitacora y las funciones RF-24, RF-25 y RF-27; se actualiza CU-11 y el diagrama de casos de uso general.";Seccion 2.1, seccion 2.3, RF-24, RF-25 y CU-11
D-22;Mayor;3.2 introduccion (L498);"Los 23 primeros fueron formalizados a partir de los requisitos crudos RC-01 a RC-25 elicitados en las entrevistas EV-01 y EV-02";"Se declara la correspondencia real y el destino de los dos requisitos crudos huerfanos: ""Los 23 primeros RF se formalizaron a partir de RC-01 a RC-25 con correspondencia 1:1 hasta RF-21/RC-21; RF-22 deriva de RC-24 y RF-23 de RC-25. RC-22 (control de iluminacion por aula) y RC-23 (alertas por SMS al personal tecnico) no se formalizaron como RF en esta entrega: se difieren a la categoria Could (RF-26C y RF-28C de la Seccion 5.2.3) por dependencia de hardware no presupuestado. Ningun requisito crudo elicitado queda sin destino declarado.""";RC-22, RC-23 y seccion 3.2
D-23;Mayor;2.4.2 conflicto de apagado (L242);"Estrategia de gestion: Integrar el horario academico vigente, permitir excepciones autorizadas y registrar actividades extraordinarias. [Sin RF destino para la excepcion]";"Se crea RF-31 (Excepcion autorizada de apagado automatico, prioridad Must): un usuario con rol Docente o Infraestructura debe poder registrar una excepcion vigente sobre un aula y un rango horario, que inhibe RF-13, RF-15 y RF-16 durante ese rango; la excepcion caduca automaticamente, queda registrada en la bitacora (RF-23) y notifica al responsable del aula. La estrategia de la fila del conflicto pasa a citar RD-13, RF-15 y RF-31 como requisitos destino. Este cambio se tramita ademas formalmente como RFC-01 ante el CCB por ampliar el alcance.";RF-31 nuevo, conflicto 2.4.2, RF-13, RF-15, RF-16
;;;;;
DEFECTOS MENORES NO CORREGIDOS (documentados con justificacion);;;;;
Defecto;Severidad;Ubicacion;Justificacion de la no correccion;;
D-24;Menor;Nomenclatura RNF/NFR;El glosario documenta ambos prefijos como sinonimos y ninguna referencia queda irresoluble. La unificacion afecta 71 apariciones en 2256 lineas y se difiere a la Entrega 4 para evitar introducir errores de sustitucion masiva en la misma version que aplica 23 correcciones de fondo.;;
D-25;Menor;Leyendas de tabla 2.5 desplazadas;Errata de forma que no altera la interpretacion de ningun requisito ni de ninguna referencia cruzada. Se difiere al pase de edicion de la Entrega 4.;;
D-26;Menor;Conteo de filas de la Tabla 63;La correccion D-15 reescribe la matriz completa y su leyenda, por lo que la discrepancia 28/29 desaparece por efecto de aquella. No requiere correccion independiente.;;
D-27;Menor;Doble denominacion de la Facultad;Requiere confirmar cual es la denominacion institucional vigente ante la Coordinacion de Carrera. Se registra como consulta abierta y se difiere hasta obtener la respuesta oficial, en lugar de fijar arbitrariamente una de las dos.;;
D-28;Menor;RF-24 y RF-25 sin marca de pendiente;La correccion D-14 eleva ambos a Must y la D-15 les asigna fila en la matriz, con lo que la afirmacion original sobre su estado pierde sentido. Se reescribe el parrafo de 3.2 como parte de D-22 y no se abre correccion adicional.;;
D-29;Menor;Cinco figuras duplicadas;La duplicacion es una decision editorial declarada en 4.9 y no induce a error sobre ningun requisito. Se difiere a la Entrega 4, donde se resolvera con referencias cruzadas en lugar de con reinsercion de la imagen.;;
